Player,Pos,Squad,Comp,npxG,-9999
Fabinho,MF,Liverpool,eng Premier League,1.9,7f3b388c
Idrissa Gana Gueye,MF,Paris S-G,fr Ligue 1,1.9,72c812f3
Marc Guéhi,DF,Crystal Palace,eng Premier League,1.9,d0706b27
Evann Guessand,FW,Nice,fr Ligue 1,1.9,b73f17f8
Grant Hanley,DF,Norwich City,eng Premier League,1.9,e9254eec
Hans Hateboer,DF,Atalanta,it Serie A,1.9,3b333ac3
Oussama Idrissi,MF,Cádiz,es La Liga,1.9,34caa4b3
Joaquín,FWMF,Betis,es La Liga,1.9,4c5b14d2
Timothée Kolodziejczak,DF,Saint-Étienne,fr Ligue 1,1.9,ab096c6f
Dejan Kulusevski,FWMF,Juventus,it Serie A,1.9,df3cda47
Andrea La Mantia,FW,Empoli,it Serie A,1.9,c375dfa5
Víctor Laguardia,DF,Alavés,es La Liga,1.9,b7c99b9b
Aïssa Mandi,DF,Villarreal,es La Liga,1.9,fbd6378b
Gian Marco Ferrari,DF,Sassuolo,it Serie A,1.9,8650af85
Kenny McLean,MF,Norwich City,eng Premier League,1.9,471f16b3
Enock Mwepu,MFFW,Brighton,eng Premier League,1.9,1d5cab82
Joakim Mæhle,DF,Atalanta,it Serie A,1.9,c459a650
Luca Netz,DF,M'Gladbach,de Bundesliga,1.9,e79269bd
Azzedine Ounahi,MF,Angers,fr Ligue 1,1.9,83299cc0
Marko Pjaca,MFFW,Torino,it Serie A,1.9,2c38b327
Daniel Podence,FWMF,Wolves,eng Premier League,1.9,7fcc71d8
Ivan Rakitić,MF,Sevilla,es La Liga,1.9,89f951b5
Nathan Redmond,MFFW,Southampton,eng Premier League,1.9,ab651565
Andrew Robertson,DF,Liverpool,eng Premier League,1.9,2e4f5f03
Roberto Soriano,MFFW,Bologna,it Serie A,1.9,9d4c45d6
Denis Suárez,MF,Celta Vigo,es La Liga,1.9,12c50af5
Manuel Akanji,DF,Dortmund,de Bundesliga,1.8,89ac64a6
Thiago Alcántara,MF,Liverpool,eng Premier League,1.8,77e84962
Kike Barja,MFFW,Osasuna,es La Liga,1.8,aad53e64
Raoul Bellanova,DF,Cagliari,it Serie A,1.8,e3756e72
Cristiano Biraghi,DF,Fiorentina,it Serie A,1.8,9e1577aa
Osman Bukari,FWMF,Nantes,fr Ligue 1,1.8,eab85789
Federico Ceccherini,DF,Hellas Verona,it Serie A,1.8,d9624b51
Vladimír Darida,MF,Hertha BSC,de Bundesliga,1.8,3eb0f2df
Ben Davies,DF,Tottenham,eng Premier League,1.8,44781702
Berat Djimsiti,DF,Atalanta,it Serie A,1.8,6eee05f1
Yannick Gerhardt,MFDF,Wolfsburg,de Bundesliga,1.8,62ab9184
Rico Henry,DF,Brentford,eng Premier League,1.8,8a3c1dc7
N'Golo Kanté,MF,Chelsea,eng Premier League,1.8,b9fbae28
Boubakar Kouyaté,DF,Metz,fr Ligue 1,1.8,562a4799
Mateo Kovačić,MF,Chelsea,eng Premier League,1.8,79c0821a
Gaëtan Laborde,FW,Montpellier,fr Ligue 1,1.8,7cdda3bf
Mario Lemina,MF,Nice,fr Ligue 1,1.8,2b471f99
José Luis Palomino,DF,Atalanta,it Serie A,1.8,921f6058
Louis Mafouta,FW,Metz,fr Ligue 1,1.8,bec3d251
Ben Mee,DF,Burnley,eng Premier League,1.8,8df7a2fb
