Rk,Player,Pos,Squad,Comp,90s,CPA
63,Callum Hudson-Odoi\15f3ec41,FWMF,Chelsea,eng Premier League,10.7,34
64,Gabriel Jesus\b66315ae,FW,Manchester City,eng Premier League,20.9,34
65,Karl Toko Ekambi\5ceba7fc,FW,Lyon,fr Ligue 1,25.5,34
66,Duván Zapata\d3de9af0,FW,Atalanta,it Serie A,19.1,34
67,Sofiane Boufal\b0c71810,FWMF,Angers,fr Ligue 1,25.9,33
68,Raphael Dias Belloli\3423f250,FWMF,Leeds United,eng Premier League,32.4,33
69,Amine Gouiri\aad56ca3,FWMF,Nice,fr Ligue 1,30.6,33
70,Luis Muriel\eb2fe5b6,FW,Atalanta,it Serie A,17.1,33
71,Jarrod Bowen\79c84d1c,FW,West Ham,eng Premier League,33.1,32
72,Kai Havertz\fed7cb61,FWMF,Chelsea,eng Premier League,20.1,32
73,Ciro Immobile\4431aed2,FW,Lazio,it Serie A,30.1,32
74,Daniel James\c931d9f9,FWMF,Leeds United,eng Premier League,26.3,32
75,Armand Lauriente\2d22cea7,FWMF,Lorient,fr Ligue 1,27.5,32
76,Bryan Mbeumo\6afaebf2,FW,Brentford,eng Premier League,32.3,32
77,Michail Antonio\ac05f970,FW,West Ham,eng Premier League,33.0,31
78,Armando Broja\97220da2,FW,Southampton,eng Premier League,21.9,31
79,Jack Harrison\aa849a12,FWMF,Leeds United,eng Premier League,29.3,31
80,Nico Williams\afdc14d7,MF,Athletic Club,es La Liga,14.9,31
81,Nicolò Zaniolo\9907b1c8,FW,Roma,it Serie A,21.9,31
82,Gerrit Holtmann\2979c05a,FWMF,Bochum,de Bundesliga,20.4,30
83,Andrej Kramarić\603cb947,FWMF,Hoffenheim,de Bundesliga,30.1,30
84,Álvaro Morata\129af0db,FW,Juventus,it Serie A,25.6,30
85,Mason Mount\9674002f,MFFW,Chelsea,eng Premier League,26.3,30
86,Teemu Pukki\0745b37d,FW,Norwich City,eng Premier League,36.1,30
87,Riccardo Saponara\3bb7af3b,FW,Fiorentina,it Serie A,14.3,30
88,Sheraldo Becker\8eb55dbb,FWMF,Union Berlin,de Bundesliga,19.5,29
89,Jeremie Frimpong\74f2e748,DF,Leverkusen,de Bundesliga,22.8,29
90,Nicolás González\2374aaca,FW,Fiorentina,it Serie A,26.2,29
91,Demarai Gray\4468ec10,MFFW,Everton,eng Premier League,26.0,29
92,Erling Haaland\1f44ac21,FW,Dortmund,de Bundesliga,21.2,29
93,Luis Javier Suárez\eeba07f8,FW,Granada,es La Liga,30.9,29
94,Diogo Jota\178ae8f8,FW,Liverpool,eng Premier League,26.3,29
95,Jamie Leweling\13fe7b69,FWDF,Greuther Fürth,de Bundesliga,21.8,29
96,Jesper Lindstrøm\37dc1a48,FWMF,Eint Frankfurt,de Bundesliga,22.0,29
97,Donyell Malen\864163f3,FW,Dortmund,de Bundesliga,18.7,29
98,Franck Ribéry\f61c7c4e,MFFW,Salernitana,it Serie A,15.8,29
99,Adama Traoré\9a28eba4,FW,Wolves,eng Premier League,11.9,29
100,Jonathan Burkardt\05f99a4a,FWMF,Mainz 05,de Bundesliga,29.0,28
101,Antonio Candreva\356c9002,MFFW,Sampdoria,it Serie A,34.7,28
102,Lucas Ocampos\a08b974a,FW,Sevilla,es La Liga,23.6,28
103,Alfonso Pedraza\63f04c6c,DF,Villarreal,es La Liga,18.9,28
104,Richarlison\fa031b34,FWMF,Everton,eng Premier League,28.0,28
105,Juan Cuadrado\0ab1f153,DFMF,Juventus,it Serie A,27.6,27
106,Seko Fofana\5313ed43,MF,Lens,fr Ligue 1,37.3,27
107,Mason Greenwood\58eee997,FWMF,Manchester Utd,eng Premier League,14.1,27
108,Alexander Isak\8e92be30,FW,Real Sociedad,es La Liga,23.8,27
109,Gelson Martins\3ef0fa48,FWMF,Monaco,fr Ligue 1,21.2,27
110,Lionel Messi\d70ce98e,FWMF,Paris S-G,fr Ligue 1,23.9,27
